projectId,startDate,endDate,ProjValue,impact_category,process_name,kpi_name,actual,bp_lower_bound,bp_upper_bound,bp_range_display,unit,higher_is_better,importance_weight,score,phase wt,process wt,KPI wt,realized_value,unrealized_value,process_level_unrealized_value,phase_level_unrealized_value,ID,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,communication,Meetings Documentation,0.24,0,1,"Minutes, Topic & Attachment", types,TRUE,1,24,0.6,0.15,0.3,7.2,22.8,3.42,2.052,P-NE-001CA Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,communication,Meetings Rate,0.0196,0,0.14,> 1/week,/week,TRUE,1,14,0.6,0.15,0.2,2.8,17.2,2.58,1.548,P-NE-001CA Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Budgets Create Date,16.8,-30,0,> 30 days pre kickoff, days prior,TRUE,1,22,0.6,0.1,0.05,1.1,3.9,0.39,0.234,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Budgets Usage Rate,0.56,0,1,> 1/proj day,/day,TRUE,4,56,0.6,0.1,0.03,1.68,1.32,0.132,0.0792,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Change Order Time to Close,11.48,0,14,< 14 days, days,FALSE,3,18,0.5,0.2,0.25,4.5,20.5,4.1,2.05,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Change Order to Budget Ratio,0.058,0,0.1,< 10%,%,FALSE,3,42,0.6,0.1,0.25,10.5,14.5,1.45,0.87,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Contract to Budget Ratio (Deviation),0.1175,0,0.25,>25%,%,FALSE,3,47,0.6,0.1,0.05,2.35,2.65,0.265,0.159,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Invoice to Contract Ratio (Deviation),0.067,0,0.1,< 10%,%,FALSE,2,33,0.6,0.1,0.02,0.66,1.34,0.134,0.0804,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,financial,Payments to Invoices Ratio (Deviation),0.072,0,0.1,< 10%,%,FALSE,4,28,0.6,0.1,0.35,9.8,25.2,2.52,1.512,P-NE-001CA Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,operations,RFIs Closed on Time,0.352,0.8,1,> 80%,%,TRUE,3,49,0.6,0.5,0.1,4.9,5.1,2.55,1.53,P-NE-001CA Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,operations,RFIs Lead Time,1.75,7,99,> 7 days, days,TRUE,2,30,0.6,0.5,0.3,9,21,10.5,6.3,P-NE-001CA Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,operations,RFIs Rate,0.039,0.3,0.5,30-50%, days,FALSE,2,18,0.5,0.3,0.2,3.6,16.4,4.92,2.46,P-NE-001CA Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,operations,Submittals Closed on Time,0.376,0.8,1,> 80%,%,TRUE,3,52,0.6,0.5,0.1,5.2,4.8,2.4,1.44,P-NE-001CA Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,operations,Submittals Lead Time,9.03,21,99,> 21 days, days,TRUE,2,48,0.6,0.5,0.15,7.2,7.8,3.9,2.34,P-NE-001CA Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,operations,Submittals Rate,0.352,0.8,1,> 80%,%,TRUE,3,49,0.5,0.3,0.15,7.35,7.65,2.295,1.1475,P-NE-001CA Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,quality,Observation Rate,0.0574,0,0.14,> 1/week,/week,TRUE,2,43,0.6,0.05,0.3,12.9,17.1,0.855,0.513,P-NE-001CA Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,quality,Observations Closed on Time,0.08,0.8,1,> 80%,%,TRUE,2,12,0.6,0.05,0.3,3.6,26.4,1.32,0.792,P-NE-001CA Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,quality,Quality Insp. Attach. Rate,0.27,1,99,> 1/insp.,/insp.,TRUE,2,29,0.6,0.05,0.2,5.8,14.2,0.71,0.426,P-NE-001CA Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,quality,Quality Inspection Rate,0.0252,0,0.14,> 1/week,/week,TRUE,4,20,0.6,0.05,0.2,4,16,0.8,0.48,P-NE-001CA Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Incident Detail Quality,0.0323,0.9,1,> 90%,%,TRUE,1,12,0.6,0.2,0.2,2.4,17.6,3.52,2.112,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Incident Rate,1.46,0,0,0, incidents,FALSE,4,22,0.6,0.2,0.2,4.4,15.6,3.12,1.872,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Near Miss Detail Quality,0,0.9,1,> 90%,%,TRUE,1,34,0.6,0.2,0,0,0,0,0,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Near Miss Rate,0,0,0,0, near misses,FALSE,2,18,0.6,0.2,0,0,0,0,0,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Safety Insp. Attach. Rate,0.4,1,99,> 1/insp.,/insp.,TRUE,2,35,0.6,0.2,0.1,3.5,6.5,1.3,0.78,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Safety Inspection Rate,0.021,0,0.14,> 1/week,/week,TRUE,3,10,0.6,0.2,0.1,1,9,1.8,1.08,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,CA Insurance,safety,Safety Training,0.36,0.9,1,> 90%,%,TRUE,3,35,0.6,0.2,0.4,14,26,5.2,3.12,P-NE-001CA Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,communication,Daily Logs Delay,2.55,0,1,Same day, days,FALSE,2,15,0.4,0.05,0.3,4.5,25.5,1.275,0.51,P-NE-001Costcommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,communication,Daily Logs Rate,0.01,0,1,> 1/day,/day,TRUE,2,1,0.4,0.05,0.15,0.15,14.85,0.7425,0.297,P-NE-001Costcommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,communication,Meetings Documentation,0.03,0,1,"Minutes, Topic & Attachment", types,TRUE,1,3,0.4,0.05,0.35,1.05,33.95,1.6975,0.679,P-NE-001Costcommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,communication,Meetings Rate,0.0098,0,0.14,> 1/week,/week,TRUE,1,7,0.4,0.05,0.2,1.4,18.6,0.93,0.372,P-NE-001Costcommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Budgets Create Date,27.6,-30,0,> 30 days pre kickoff, days prior,TRUE,1,4,0.4,0.25,0.03,0.12,2.88,0.72,0.288,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Budgets Usage Rate,0.38,0,1,> 1/proj day,/day,TRUE,4,38,0.4,0.25,0.1,3.8,6.2,1.55,0.62,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Change Order Time to Close,8.82,0,14,< 14 days, days,FALSE,3,37,0.5,0.2,0.15,5.55,9.45,1.89,0.945,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Change Order to Budget Ratio,0.07,0,0.1,< 10%,%,FALSE,3,30,0.4,0.25,0.35,10.5,24.5,6.125,2.45,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Contract to Budget Ratio (Deviation),0.0125,0,0.25,>25%,%,FALSE,3,5,0.4,0.25,0.3,1.5,28.5,7.125,2.85,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Invoice to Contract Ratio (Deviation),0.097,0,0.1,< 10%,%,FALSE,2,3,0.4,0.25,0.02,0.06,1.94,0.485,0.194,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,financial,Payments to Invoices Ratio (Deviation),0.062,0,0.1,< 10%,%,FALSE,4,38,0.4,0.25,0.05,1.9,3.1,0.775,0.31,P-NE-001Costfinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,operations,RFIs Closed on Time,0.12,0.8,1,> 80%,%,TRUE,3,20,0.4,0.45,0.1,2,8,3.6,1.44,P-NE-001Costoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,operations,RFIs Lead Time,1.05,7,99,> 7 days, days,TRUE,2,20,0.4,0.45,0.3,6,24,10.8,4.32,P-NE-001Costoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,operations,RFIs Rate,0.102,0.3,0.5,30-50%, days,FALSE,2,39,0.5,0.3,0.15,5.85,9.15,2.745,1.3725,P-NE-001Costoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,operations,Submittals Closed on Time,0.336,0.8,1,> 80%,%,TRUE,3,47,0.4,0.45,0.1,4.7,5.3,2.385,0.954,P-NE-001Costoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,operations,Submittals Lead Time,6.3,21,99,> 21 days, days,TRUE,2,35,0.4,0.45,0.25,8.75,16.25,7.3125,2.925,P-NE-001Costoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,operations,Submittals Rate,0.384,0.8,1,> 80%,%,TRUE,3,53,0.5,0.3,0.1,5.3,4.7,1.41,0.705,P-NE-001Costoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,quality,Observation Rate,0.035,0,0.14,> 1/week,/week,TRUE,2,27,0.4,0.15,0.15,4.05,10.95,1.6425,0.657,P-NE-001Costquality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,quality,Observations Closed on Time,0.416,0.8,1,> 80%,%,TRUE,2,54,0.4,0.15,0.45,24.3,20.7,3.105,1.242,P-NE-001Costquality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,quality,Quality Insp. Attach. Rate,0.29,1,99,> 1/insp.,/insp.,TRUE,2,31,0.4,0.15,0.1,3.1,6.9,1.035,0.414,P-NE-001Costquality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,quality,Quality Inspection Rate,0.0364,0,0.14,> 1/week,/week,TRUE,4,28,0.4,0.15,0.3,8.4,21.6,3.24,1.296,P-NE-001Costquality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Incident Detail Quality,0.0133,0.9,1,> 90%,%,TRUE,1,2,0.4,0.1,0.15,0.3,14.7,1.47,0.588,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Incident Rate,1.86,0,0,0, incidents,FALSE,4,2,0.4,0.1,0.4,0.8,39.2,3.92,1.568,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Near Miss Detail Quality,0,0.9,1,> 90%,%,TRUE,1,10,0.4,0.1,0,0,0,0,0,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Near Miss Rate,0,0,0,0, near misses,FALSE,2,2,0.4,0.1,0,0,0,0,0,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Safety Insp. Attach. Rate,0.22,1,99,> 1/insp.,/insp.,TRUE,2,17,0.4,0.1,0.15,2.55,12.45,1.245,0.498,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Safety Inspection Rate,0.0224,0,0.14,> 1/week,/week,TRUE,3,11,0.4,0.1,0.15,1.65,13.35,1.335,0.534,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Cost,safety,Safety Training,0.09,0.9,1,> 90%,%,TRUE,3,5,0.4,0.1,0.15,0.75,14.25,1.425,0.57,P-NE-001Costsafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,communication,Daily Logs Delay,2.79,0,1,Same day, days,FALSE,2,7,0.5,0.1,0.2,1.4,18.6,1.86,0.93,P-NE-001GL Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,communication,Daily Logs Rate,0.1,0,1,> 1/day,/day,TRUE,2,10,0.5,0.1,0.3,3,27,2.7,1.35,P-NE-001GL Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,communication,Meetings Documentation,0.23,0,1,"Minutes, Topic & Attachment", types,TRUE,1,23,0.5,0.1,0.35,8.05,26.95,2.695,1.3475,P-NE-001GL Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,communication,Meetings Rate,0.0168,0,0.14,> 1/week,/week,TRUE,1,12,0.5,0.1,0.15,1.8,13.2,1.32,0.66,P-NE-001GL Insurancecommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Budgets Create Date,7.2,-30,0,> 30 days pre kickoff, days prior,TRUE,1,38,0.5,0.05,0.03,1.14,1.86,0.093,0.0465,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Budgets Usage Rate,0.34,0,1,> 1/proj day,/day,TRUE,4,34,0.5,0.05,0.1,3.4,6.6,0.33,0.165,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Change Order Time to Close,9.52,0,14,< 14 days, days,FALSE,3,32,0.5,0.2,0.25,8,17,3.4,1.7,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Change Order to Budget Ratio,0.045,0,0.1,< 10%,%,FALSE,3,55,0.5,0.05,0.25,13.75,11.25,0.5625,0.28125,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Contract to Budget Ratio (Deviation),0.14,0,0.25,>25%,%,FALSE,3,56,0.5,0.05,0.15,8.4,6.6,0.33,0.165,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Invoice to Contract Ratio (Deviation),0.05,0,0.1,< 10%,%,FALSE,2,50,0.5,0.05,0.02,1,1,0.05,0.025,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,financial,Payments to Invoices Ratio (Deviation),0.064,0,0.1,< 10%,%,FALSE,4,36,0.5,0.05,0.2,7.2,12.8,0.64,0.32,P-NE-001GL Insurancefinancial,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,operations,RFIs Closed on Time,0.12,0.8,1,> 80%,%,TRUE,3,20,0.5,0.45,0.05,1,4,1.8,0.9,P-NE-001GL Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,operations,RFIs Lead Time,2.8,7,99,> 7 days, days,TRUE,2,45,0.5,0.45,0.1,4.5,5.5,2.475,1.2375,P-NE-001GL Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,operations,RFIs Rate,0.045,0.3,0.5,30-50%, days,FALSE,2,20,0.5,0.3,0.4,8,32,9.6,4.8,P-NE-001GL Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,operations,Submittals Closed on Time,0.2,0.8,1,> 80%,%,TRUE,3,30,0.5,0.45,0.05,1.5,3.5,1.575,0.7875,P-NE-001GL Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,operations,Submittals Lead Time,9.03,21,99,> 21 days, days,TRUE,2,48,0.5,0.45,0.15,7.2,7.8,3.51,1.755,P-NE-001GL Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,operations,Submittals Rate,0.112,0.8,1,> 80%,%,TRUE,3,19,0.5,0.3,0.25,4.75,20.25,6.075,3.0375,P-NE-001GL Insuranceoperations,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,quality,Observation Rate,0.0196,0,0.14,> 1/week,/week,TRUE,2,16,0.5,0.15,0.1,1.6,8.4,1.26,0.63,P-NE-001GL Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,quality,Observations Closed on Time,0.192,0.8,1,> 80%,%,TRUE,2,26,0.5,0.15,0.25,6.5,18.5,2.775,1.3875,P-NE-001GL Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,quality,Quality Insp. Attach. Rate,0.04,1,99,> 1/insp.,/insp.,TRUE,2,6,0.5,0.15,0.3,1.8,28.2,4.23,2.115,P-NE-001GL Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,quality,Quality Inspection Rate,0.0378,0,0.14,> 1/week,/week,TRUE,4,29,0.5,0.15,0.35,10.15,24.85,3.7275,1.86375,P-NE-001GL Insurancequality,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Incident Detail Quality,0.0342,0.9,1,> 90%,%,TRUE,1,13,0.5,0.25,0.2,2.6,17.4,4.35,2.175,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Incident Rate,1.16,0,0,0, incidents,FALSE,4,37,0.5,0.25,0.35,12.95,22.05,5.5125,2.75625,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Near Miss Detail Quality,0,0.9,1,> 90%,%,TRUE,1,19,0.5,0.25,0,0,0,0,0,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Near Miss Rate,0,0,0,0, near misses,FALSE,2,21,0.5,0.25,0,0,0,0,0,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Safety Insp. Attach. Rate,0.24,1,99,> 1/insp.,/insp.,TRUE,2,19,0.5,0.25,0.1,1.9,8.1,2.025,1.0125,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Safety Inspection Rate,0.0658,0,0.14,> 1/week,/week,TRUE,3,42,0.5,0.25,0.2,8.4,11.6,2.9,1.45,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,GL Insurance,safety,Safety Training,0.162,0.9,1,> 90%,%,TRUE,3,13,0.5,0.25,0.15,1.95,13.05,3.2625,1.63125,P-NE-001GL Insurancesafety,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Safety,communication,Daily Logs Delay,2.55,0,1,Same day, days,FALSE,2,15,0.6,0.1,0.25,3.75,21.25,2.125,1.275,P-NE-001Safetycommunication,,,,,,,
P-NE-001,1/1/2021,6/30/2021,500000,Safety,communication,Daily Logs Rate,0.06,0,1,> 1/day,/day,TRUE,2,6,0.6,0.1,0.15,0.9,14.1,1.41,0.846,P-NE-001Safetycommunication,,,,,,,
