projectId,impact_category,process_name,kpi_name,actual,bp_lower_bound,bp_upper_bound,bp_range_display,unit,higher_is_better,importance_weight,score,phase wt,process wt,KPI wt,realized_value,unrealized_value,process_level_unrealized_value,phase_level_unrealized_value
P-NE-001,CA Insurance,compliance,avg insurance acquired cycle,13.79,7,14,< 7 days, days,FALSE,7,3,0.2,0.3,0.1,0.3,9.7,2.91,0.582
P-NE-001,CA Insurance,compliance,avg permit approval cycle,26.4,20,30,< 20 days, days,FALSE,7,18,0.2,0.3,0.5,9,41,12.3,2.46
P-NE-001,CA Insurance,compliance,avg sub COI received time,9.15,5,10,< 5 days, days,FALSE,6,17,0.2,0.3,0.15,2.55,12.45,3.735,0.747
P-NE-001,CA Insurance,compliance,permit submission timeliness,0.304,0.95,1,> 95%, days,TRUE,8,32,0.2,0.3,0.25,8,17,5.1,1.02
P-NE-001,CA Insurance,designReview,clash detection rate,0.081,0.9,1,> 90%,%,TRUE,9,9,0.2,0.4,0.15,1.35,13.65,5.46,1.092
P-NE-001,CA Insurance,designReview,drawings usage,0.189,0.9,1,> 90%,%,TRUE,6,21,0.2,0.4,0.15,3.15,11.85,4.74,0.948
P-NE-001,CA Insurance,designReview,photos usage,0.125,0.5,1.5,> 50%, count,TRUE,4,25,0.2,0.4,0.55,13.75,41.25,16.5,3.3
P-NE-001,CA Insurance,designReview,specifications usage,0.369,0.9,1,> 90%,%,TRUE,6,41,0.2,0.4,0.15,6.15,8.85,3.54,0.708
P-NE-001,CA Insurance,financialSetup,budget to bid variance,0.0265,0,0.05,< 5%,%,FALSE,9,47,0.2,0.1,0.25,11.75,13.25,1.325,0.265
P-NE-001,CA Insurance,financialSetup,contingency adequacy,0.043,0.1,0.15,> 10%,%,TRUE,7,43,0.2,0.1,0.1,4.3,5.7,0.57,0.114
P-NE-001,CA Insurance,financialSetup,days until sub contracts executed,18.48,0.15,21,< 15 days, days,FALSE,8,42,0.2,0.1,0.2,8.4,11.6,1.16,0.232
P-NE-001,CA Insurance,financialSetup,prime contract to budget variance,0.095,0,0.25,> 25%,%,FALSE,10,38,0.2,0.1,0.45,17.1,27.9,2.79,0.558
P-NE-001,CA Insurance,subcontractorPlanning,equipment cost variance,0.142,0,0.05,< 5%,%,FALSE,5,8,0.2,0.2,0.05,0.4,4.6,0.92,0.184
P-NE-001,CA Insurance,subcontractorPlanning,gantt chart completion rate,0.057,0.95,1,> 95%,%,TRUE,8,6,0.2,0.2,0.2,1.2,18.8,3.76,0.752
P-NE-001,CA Insurance,subcontractorPlanning,labor cost variance,0.121,0,0.05,< 5%,%,FALSE,10,29,0.2,0.2,0.25,7.25,17.75,3.55,0.71
P-NE-001,CA Insurance,subcontractorPlanning,materials cost variance,0.13,0,0.05,< 5%,%,FALSE,10,20,0.2,0.2,0.1,2,8,1.6,0.32
P-NE-001,CA Insurance,subcontractorPlanning,schedule to bid variance,0.146,0,0.05,< 5%,%,FALSE,9,4,0.2,0.2,0.4,1.6,38.4,7.68,1.536
P-NE-001,Cost,compliance,avg insurance acquired cycle,10.29,7,14,< 7 days, days,FALSE,7,53,0.25,0.15,0.1,5.3,4.7,0.705,0.17625
P-NE-001,Cost,compliance,avg permit approval cycle,22.6,20,30,< 20 days, days,FALSE,7,37,0.25,0.15,0.4,14.8,25.2,3.78,0.945
P-NE-001,Cost,compliance,avg sub COI received time,8.3,5,10,< 5 days, days,FALSE,6,34,0.25,0.15,0.2,6.8,13.2,1.98,0.495
P-NE-001,Cost,compliance,permit submission timeliness,0.3895,0.95,1,> 95%, days,TRUE,8,41,0.25,0.15,0.3,12.3,17.7,2.655,0.66375
P-NE-001,Cost,designReview,clash detection rate,0.387,0.9,1,> 90%,%,TRUE,9,43,0.25,0.3,0.5,21.5,28.5,8.55,2.1375
P-NE-001,Cost,designReview,drawings usage,0.243,0.9,1,> 90%,%,TRUE,6,27,0.25,0.3,0.2,5.4,14.6,4.38,1.095
P-NE-001,Cost,designReview,photos usage,0.11,0.5,1.5,> 50%, count,TRUE,4,22,0.25,0.3,0.1,2.2,7.8,2.34,0.585
P-NE-001,Cost,designReview,specifications usage,0.189,0.9,1,> 90%,%,TRUE,6,21,0.25,0.3,0.2,4.2,15.8,4.74,1.185
P-NE-001,Cost,financialSetup,budget to bid variance,0.032,0,0.05,< 5%,%,FALSE,9,36,0.25,0.2,0.15,5.4,9.6,1.92,0.48
P-NE-001,Cost,financialSetup,contingency adequacy,0.054,0.1,0.15,> 10%,%,TRUE,7,54,0.25,0.2,0.4,21.6,18.4,3.68,0.92
P-NE-001,Cost,financialSetup,days until sub contracts executed,17.7,0.15,21,< 15 days, days,FALSE,8,55,0.25,0.2,0.2,11,9,1.8,0.45
P-NE-001,Cost,financialSetup,prime contract to budget variance,0.1225,0,0.25,> 25%,%,FALSE,10,49,0.25,0.2,0.25,12.25,12.75,2.55,0.6375
P-NE-001,Cost,subcontractorPlanning,equipment cost variance,0.121,0,0.05,< 5%,%,FALSE,5,29,0.25,0.35,0.05,1.45,3.55,1.2425,0.310625
P-NE-001,Cost,subcontractorPlanning,gantt chart completion rate,0.057,0.95,1,> 95%,%,TRUE,8,6,0.25,0.35,0.15,0.9,14.1,4.935,1.23375
P-NE-001,Cost,subcontractorPlanning,labor cost variance,0.141,0,0.05,< 5%,%,FALSE,10,9,0.25,0.35,0.35,3.15,31.85,11.1475,2.786875
P-NE-001,Cost,subcontractorPlanning,materials cost variance,0.13,0,0.05,< 5%,%,FALSE,10,20,0.25,0.35,0.2,4,16,5.6,1.4
P-NE-001,Cost,subcontractorPlanning,schedule to bid variance,0.116,0,0.05,< 5%,%,FALSE,9,34,0.25,0.35,0.25,8.5,16.5,5.775,1.44375
P-NE-001,GL Insurance,compliance,avg insurance acquired cycle,10.43,7,14,< 7 days, days,FALSE,7,51,0.25,0.2,0.1,5.1,4.9,0.98,0.245
P-NE-001,GL Insurance,compliance,avg permit approval cycle,19.8,20,30,< 20 days, days,FALSE,7,51,0.25,0.2,0.25,12.75,12.25,2.45,0.6125
P-NE-001,GL Insurance,compliance,avg sub COI received time,9,5,10,< 5 days, days,FALSE,6,20,0.25,0.2,0.5,10,40,8,2
P-NE-001,GL Insurance,compliance,permit submission timeliness,0.418,0.95,1,> 95%, days,TRUE,8,44,0.25,0.2,0.15,6.6,8.4,1.68,0.42
P-NE-001,GL Insurance,designReview,clash detection rate,0.126,0.9,1,> 90%,%,TRUE,9,14,0.25,0.3,0.25,3.5,21.5,6.45,1.6125
P-NE-001,GL Insurance,designReview,drawings usage,0.333,0.9,1,> 90%,%,TRUE,6,37,0.25,0.3,0.3,11.1,18.9,5.67,1.4175
P-NE-001,GL Insurance,designReview,photos usage,0.19,0.5,1.5,> 50%, count,TRUE,4,38,0.25,0.3,0.15,5.7,9.3,2.79,0.6975
P-NE-001,GL Insurance,designReview,specifications usage,0.198,0.9,1,> 90%,%,TRUE,6,22,0.25,0.3,0.3,6.6,23.4,7.02,1.755
P-NE-001,GL Insurance,financialSetup,budget to bid variance,0.038,0,0.05,< 5%,%,FALSE,9,24,0.25,0.15,0.25,6,19,2.85,0.7125
P-NE-001,GL Insurance,financialSetup,contingency adequacy,0.01,0.1,0.15,> 10%,%,TRUE,7,10,0.25,0.15,0.2,2,18,2.7,0.675
P-NE-001,GL Insurance,financialSetup,days until sub contracts executed,20.7,0.15,21,< 15 days, days,FALSE,8,5,0.25,0.15,0.15,0.75,14.25,2.1375,0.534375
P-NE-001,GL Insurance,financialSetup,prime contract to budget variance,0.04,0,0.25,> 25%,%,FALSE,10,16,0.25,0.15,0.4,6.4,33.6,5.04,1.26
P-NE-001,GL Insurance,subcontractorPlanning,equipment cost variance,0.099,0,0.05,< 5%,%,FALSE,5,51,0.25,0.35,0.05,2.55,2.45,0.8575,0.214375
P-NE-001,GL Insurance,subcontractorPlanning,gantt chart completion rate,0.1615,0.95,1,> 95%,%,TRUE,8,17,0.25,0.35,0.15,2.55,12.45,4.3575,1.089375
P-NE-001,GL Insurance,subcontractorPlanning,labor cost variance,0.131,0,0.05,< 5%,%,FALSE,10,19,0.25,0.35,0.35,6.65,28.35,9.9225,2.480625
P-NE-001,GL Insurance,subcontractorPlanning,materials cost variance,0.122,0,0.05,< 5%,%,FALSE,10,28,0.25,0.35,0.2,5.6,14.4,5.04,1.26
P-NE-001,GL Insurance,subcontractorPlanning,schedule to bid variance,0.099,0,0.05,< 5%,%,FALSE,9,51,0.25,0.35,0.25,12.75,12.25,4.2875,1.071875
P-NE-001,Safety,compliance,avg insurance acquired cycle,13.72,7,14,< 7 days, days,FALSE,7,4,0.25,0.2,0.1,0.4,9.6,1.92,0.48
P-NE-001,Safety,compliance,avg permit approval cycle,23.8,20,30,< 20 days, days,FALSE,7,31,0.25,0.2,0.25,7.75,17.25,3.45,0.8625
P-NE-001,Safety,compliance,avg sub COI received time,9.8,5,10,< 5 days, days,FALSE,6,4,0.25,0.2,0.45,1.8,43.2,8.64,2.16
P-NE-001,Safety,compliance,permit submission timeliness,0.1235,0.95,1,> 95%, days,TRUE,8,13,0.25,0.2,0.2,2.6,17.4,3.48,0.87
P-NE-001,Safety,designReview,clash detection rate,0.126,0.9,1,> 90%,%,TRUE,9,14,0.25,0.3,0.35,4.9,30.1,9.03,2.2575
P-NE-001,Safety,designReview,drawings usage,0.189,0.9,1,> 90%,%,TRUE,6,21,0.25,0.3,0.3,6.3,23.7,7.11,1.7775
P-NE-001,Safety,designReview,photos usage,0.065,0.5,1.5,> 50%, count,TRUE,4,13,0.25,0.3,0.15,1.95,13.05,3.915,0.97875
P-NE-001,Safety,designReview,specifications usage,0.063,0.9,1,> 90%,%,TRUE,6,7,0.25,0.3,0.2,1.4,18.6,5.58,1.395
P-NE-001,Safety,financialSetup,budget to bid variance,0.0435,0,0.05,< 5%,%,FALSE,9,13,0.25,0.1,0.25,3.25,21.75,2.175,0.54375
P-NE-001,Safety,financialSetup,contingency adequacy,0.009,0.1,0.15,> 10%,%,TRUE,7,9,0.25,0.1,0.15,1.35,13.65,1.365,0.34125
P-NE-001,Safety,financialSetup,days until sub contracts executed,18.96,0.15,21,< 15 days, days,FALSE,8,34,0.25,0.1,0.2,6.8,13.2,1.32,0.33
P-NE-001,Safety,financialSetup,prime contract to budget variance,0.065,0,0.25,> 25%,%,FALSE,10,26,0.25,0.1,0.4,10.4,29.6,2.96,0.74
P-NE-001,Safety,subcontractorPlanning,equipment cost variance,0.109,0,0.05,< 5%,%,FALSE,5,41,0.25,0.4,0.05,2.05,2.95,1.18,0.295
P-NE-001,Safety,subcontractorPlanning,gantt chart completion rate,0.323,0.95,1,> 95%,%,TRUE,8,34,0.25,0.4,0.35,11.9,23.1,9.24,2.31
P-NE-001,Safety,subcontractorPlanning,labor cost variance,0.147,0,0.05,< 5%,%,FALSE,10,3,0.25,0.4,0.2,0.6,19.4,7.76,1.94
P-NE-001,Safety,subcontractorPlanning,materials cost variance,0.108,0,0.05,< 5%,%,FALSE,10,42,0.25,0.4,0.1,4.2,5.8,2.32,0.58
P-NE-001,Safety,subcontractorPlanning,schedule to bid variance,0.145,0,0.05,< 5%,%,FALSE,9,5,0.25,0.4,0.3,1.5,28.5,11.4,2.85
P-NE-001,Schedule,compliance,avg insurance acquired cycle,11.97,7,14,< 7 days, days,FALSE,7,29,0.4,0.35,0.1,2.9,7.1,2.485,0.994
P-NE-001,Schedule,compliance,avg permit approval cycle,24.2,20,30,< 20 days, days,FALSE,7,29,0.4,0.35,0.4,11.6,28.4,9.94,3.976
P-NE-001,Schedule,compliance,avg sub COI received time,9.35,5,10,< 5 days, days,FALSE,6,13,0.4,0.35,0.2,2.6,17.4,6.09,2.436
P-NE-001,Schedule,compliance,permit submission timeliness,0.0855,0.95,1,> 95%, days,TRUE,8,9,0.4,0.35,0.3,2.7,27.3,9.555,3.822
P-NE-001,Schedule,designReview,clash detection rate,0.153,0.9,1,> 90%,%,TRUE,9,17,0.4,0.3,0.5,8.5,41.5,12.45,4.98
P-NE-001,Schedule,designReview,drawings usage,0.108,0.9,1,> 90%,%,TRUE,6,12,0.4,0.3,0.25,3,22,6.6,2.64
P-NE-001,Schedule,designReview,photos usage,0.01,0.5,1.5,> 50%, count,TRUE,4,2,0.4,0.3,0.1,0.2,9.8,2.94,1.176
P-NE-001,Schedule,designReview,specifications usage,0.054,0.9,1,> 90%,%,TRUE,6,6,0.4,0.3,0.15,0.9,14.1,4.23,1.692
P-NE-001,Schedule,financialSetup,budget to bid variance,0.032,0,0.05,< 5%,%,FALSE,9,36,0.4,0.1,0.2,7.2,12.8,1.28,0.512
P-NE-001,Schedule,financialSetup,contingency adequacy,0.022,0.1,0.15,> 10%,%,TRUE,7,22,0.4,0.1,0.3,6.6,23.4,2.34,0.936
P-NE-001,Schedule,financialSetup,days until sub contracts executed,18.6,0.15,21,< 15 days, days,FALSE,8,40,0.4,0.1,0.4,16,24,2.4,0.96
P-NE-001,Schedule,financialSetup,prime contract to budget variance,0.115,0,0.25,> 25%,%,FALSE,10,46,0.4,0.1,0.1,4.6,5.4,0.54,0.216
P-NE-001,Schedule,subcontractorPlanning,equipment cost variance,0.122,0,0.05,< 5%,%,FALSE,5,28,0.4,0.25,0.05,1.4,3.6,0.9,0.36
P-NE-001,Schedule,subcontractorPlanning,gantt chart completion rate,0.3135,0.95,1,> 95%,%,TRUE,8,33,0.4,0.25,0.35,11.55,23.45,5.8625,2.345
P-NE-001,Schedule,subcontractorPlanning,labor cost variance,0.131,0,0.05,< 5%,%,FALSE,10,19,0.4,0.25,0.2,3.8,16.2,4.05,1.62
P-NE-001,Schedule,subcontractorPlanning,materials cost variance,0.121,0,0.05,< 5%,%,FALSE,10,29,0.4,0.25,0.1,2.9,7.1,1.775,0.71
P-NE-001,Schedule,subcontractorPlanning,schedule to bid variance,0.146,0,0.05,< 5%,%,FALSE,9,4,0.4,0.25,0.3,1.2,28.8,7.2,2.88
P-NE-001,WC Insurance,compliance,avg insurance acquired cycle,11.62,7,14,< 7 days, days,FALSE,7,34,0.2,0.2,0.1,3.4,6.6,1.32,0.264
P-NE-001,WC Insurance,compliance,avg permit approval cycle,25,20,30,< 20 days, days,FALSE,7,25,0.2,0.2,0.25,6.25,18.75,3.75,0.75
P-NE-001,WC Insurance,compliance,avg sub COI received time,8.5,5,10,< 5 days, days,FALSE,6,30,0.2,0.2,0.45,13.5,31.5,6.3,1.26
P-NE-001,WC Insurance,compliance,permit submission timeliness,0.361,0.95,1,> 95%, days,TRUE,8,38,0.2,0.2,0.2,7.6,12.4,2.48,0.496
P-NE-001,WC Insurance,designReview,clash detection rate,0.459,0.9,1,> 90%,%,TRUE,9,51,0.2,0.3,0.4,20.4,19.6,5.88,1.176
P-NE-001,WC Insurance,designReview,drawings usage,0.252,0.9,1,> 90%,%,TRUE,6,28,0.2,0.3,0.25,7,18,5.4,1.08
P-NE-001,WC Insurance,designReview,photos usage,0.1,0.5,1.5,> 50%, count,TRUE,4,20,0.2,0.3,0.2,4,16,4.8,0.96
P-NE-001,WC Insurance,designReview,specifications usage,0.297,0.9,1,> 90%,%,TRUE,6,33,0.2,0.3,0.15,4.95,10.05,3.015,0.603
P-NE-001,WC Insurance,financialSetup,budget to bid variance,0.0485,0,0.05,< 5%,%,FALSE,9,3,0.2,0.1,0.25,0.75,24.25,2.425,0.485
P-NE-001,WC Insurance,financialSetup,contingency adequacy,0.028,0.1,0.15,> 10%,%,TRUE,7,28,0.2,0.1,0.15,4.2,10.8,1.08,0.216
P-NE-001,WC Insurance,financialSetup,days until sub contracts executed,19.92,0.15,21,< 15 days, days,FALSE,8,18,0.2,0.1,0.2,3.6,16.4,1.64,0.328
P-NE-001,WC Insurance,financialSetup,prime contract to budget variance,0.025,0,0.25,> 25%,%,FALSE,10,10,0.2,0.1,0.4,4,36,3.6,0.72
P-NE-001,WC Insurance,subcontractorPlanning,equipment cost variance,0.143,0,0.05,< 5%,%,FALSE,5,7,0.2,0.4,0.05,0.35,4.65,1.86,0.372
P-NE-001,WC Insurance,subcontractorPlanning,gantt chart completion rate,0.0285,0.95,1,> 95%,%,TRUE,8,3,0.2,0.4,0.35,1.05,33.95,13.58,2.716
P-NE-001,WC Insurance,subcontractorPlanning,labor cost variance,0.143,0,0.05,< 5%,%,FALSE,10,7,0.2,0.4,0.2,1.4,18.6,7.44,1.488
P-NE-001,WC Insurance,subcontractorPlanning,materials cost variance,0.126,0,0.05,< 5%,%,FALSE,10,24,0.2,0.4,0.1,2.4,7.6,3.04,0.608
P-NE-001,WC Insurance,subcontractorPlanning,schedule to bid variance,0.143,0,0.05,< 5%,%,FALSE,9,7,0.2,0.4,0.3,2.1,27.9,11.16,2.232
P-SE-002,BR Insurance,compliance,avg insurance acquired cycle,12.04,7,14,< 7 days, days,FALSE,7,28,0.25,0.2,0.1,2.8,7.2,1.44,0.36
P-SE-002,BR Insurance,compliance,avg permit approval cycle,25.2,20,30,< 20 days, days,FALSE,7,24,0.25,0.2,0.45,10.8,34.2,6.84,1.71
P-SE-002,BR Insurance,compliance,avg sub COI received time,9.75,5,10,< 5 days, days,FALSE,6,5,0.25,0.2,0.15,0.75,14.25,2.85,0.7125
P-SE-002,BR Insurance,compliance,permit submission timeliness,0.1805,0.95,1,> 95%, days,TRUE,8,19,0.25,0.2,0.3,5.7,24.3,4.86,1.215
P-SE-002,BR Insurance,designReview,clash detection rate,0.072,0.9,1,> 90%,%,TRUE,9,8,0.25,0.35,0.3,2.4,27.6,9.66,2.415
P-SE-002,BR Insurance,designReview,drawings usage,0.09,0.9,1,> 90%,%,TRUE,6,10,0.25,0.35,0.35,3.5,31.5,11.025,2.75625
P-SE-002,BR Insurance,designReview,photos usage,0.08,0.5,1.5,> 50%, count,TRUE,4,16,0.25,0.35,0.15,2.4,12.6,4.41,1.1025
P-SE-002,BR Insurance,designReview,specifications usage,0.279,0.9,1,> 90%,%,TRUE,6,31,0.25,0.35,0.2,6.2,13.8,4.83,1.2075
P-SE-002,BR Insurance,financialSetup,budget to bid variance,0.0335,0,0.05,< 5%,%,FALSE,9,33,0.25,0.15,0.25,8.25,16.75,2.5125,0.628125
P-SE-002,BR Insurance,financialSetup,contingency adequacy,0.04,0.1,0.15,> 10%,%,TRUE,7,40,0.25,0.15,0.15,6,9,1.35,0.3375
P-SE-002,BR Insurance,financialSetup,days until sub contracts executed,18.96,0.15,21,< 15 days, days,FALSE,8,34,0.25,0.15,0.2,6.8,13.2,1.98,0.495
P-SE-002,BR Insurance,financialSetup,prime contract to budget variance,0.0375,0,0.25,> 25%,%,FALSE,10,15,0.25,0.15,0.4,6,34,5.1,1.275
P-SE-002,BR Insurance,subcontractorPlanning,equipment cost variance,0.136,0,0.05,< 5%,%,FALSE,5,14,0.25,0.3,0.05,0.7,4.3,1.29,0.3225
P-SE-002,BR Insurance,subcontractorPlanning,gantt chart completion rate,0.057,0.95,1,> 95%,%,TRUE,8,6,0.25,0.3,0.4,2.4,37.6,11.28,2.82
P-SE-002,BR Insurance,subcontractorPlanning,labor cost variance,0.129,0,0.05,< 5%,%,FALSE,10,21,0.25,0.3,0.15,3.15,11.85,3.555,0.88875
P-SE-002,BR Insurance,subcontractorPlanning,materials cost variance,0.142,0,0.05,< 5%,%,FALSE,10,8,0.25,0.3,0.1,0.8,9.2,2.76,0.69
P-SE-002,BR Insurance,subcontractorPlanning,schedule to bid variance,0.134,0,0.05,< 5%,%,FALSE,9,16,0.25,0.3,0.3,4.8,25.2,7.56,1.89
P-SE-002,CA Insurance,compliance,avg insurance acquired cycle,12.46,7,14,< 7 days, days,FALSE,7,22,0.2,0.3,0.1,2.2,7.8,2.34,0.468
P-SE-002,CA Insurance,compliance,avg permit approval cycle,27.2,20,30,< 20 days, days,FALSE,7,14,0.2,0.3,0.5,7,43,12.9,2.58
P-SE-002,CA Insurance,compliance,avg sub COI received time,8.35,5,10,< 5 days, days,FALSE,6,33,0.2,0.3,0.15,4.95,10.05,3.015,0.603
P-SE-002,CA Insurance,compliance,permit submission timeliness,0.342,0.95,1,> 95%, days,TRUE,8,36,0.2,0.3,0.25,9,16,4.8,0.96
P-SE-002,CA Insurance,designReview,clash detection rate,0.477,0.9,1,> 90%,%,TRUE,9,53,0.2,0.4,0.15,7.95,7.05,2.82,0.564
P-SE-002,CA Insurance,designReview,drawings usage,0.522,0.9,1,> 90%,%,TRUE,6,58,0.2,0.4,0.15,8.7,6.3,2.52,0.504
P-SE-002,CA Insurance,designReview,photos usage,0.16,0.5,1.5,> 50%, count,TRUE,4,32,0.2,0.4,0.55,17.6,37.4,14.96,2.992
P-SE-002,CA Insurance,designReview,specifications usage,0.369,0.9,1,> 90%,%,TRUE,6,41,0.2,0.4,0.15,6.15,8.85,3.54,0.708
P-SE-002,CA Insurance,financialSetup,budget to bid variance,0.039,0,0.05,< 5%,%,FALSE,9,22,0.2,0.1,0.25,5.5,19.5,1.95,0.39
P-SE-002,CA Insurance,financialSetup,contingency adequacy,0.032,0.1,0.15,> 10%,%,TRUE,7,32,0.2,0.1,0.1,3.2,6.8,0.68,0.136
P-SE-002,CA Insurance,financialSetup,days until sub contracts executed,19.44,0.15,21,< 15 days, days,FALSE,8,26,0.2,0.1,0.2,5.2,14.8,1.48,0.296
P-SE-002,CA Insurance,financialSetup,prime contract to budget variance,0.075,0,0.25,> 25%,%,FALSE,10,30,0.2,0.1,0.45,13.5,31.5,3.15,0.63
P-SE-002,CA Insurance,subcontractorPlanning,equipment cost variance,0.124,0,0.05,< 5%,%,FALSE,5,26,0.2,0.2,0.05,1.3,3.7,0.74,0.148
P-SE-002,CA Insurance,subcontractorPlanning,gantt chart completion rate,0.1805,0.95,1,> 95%,%,TRUE,8,19,0.2,0.2,0.2,3.8,16.2,3.24,0.648
P-SE-002,CA Insurance,subcontractorPlanning,labor cost variance,0.124,0,0.05,< 5%,%,FALSE,10,26,0.2,0.2,0.25,6.5,18.5,3.7,0.74
P-SE-002,CA Insurance,subcontractorPlanning,materials cost variance,0.124,0,0.05,< 5%,%,FALSE,10,26,0.2,0.2,0.1,2.6,7.4,1.48,0.296
P-SE-002,CA Insurance,subcontractorPlanning,schedule to bid variance,0.112,0,0.05,< 5%,%,FALSE,9,38,0.2,0.2,0.4,15.2,24.8,4.96,0.992
P-SE-002,Cost,compliance,avg insurance acquired cycle,12.04,7,14,< 7 days, days,FALSE,7,28,0.25,0.15,0.1,2.8,7.2,1.08,0.27
P-SE-002,Cost,compliance,avg permit approval cycle,29.6,20,30,< 20 days, days,FALSE,7,2,0.25,0.15,0.4,0.8,39.2,5.88,1.47
P-SE-002,Cost,compliance,avg sub COI received time,8.4,5,10,< 5 days, days,FALSE,6,32,0.25,0.15,0.2,6.4,13.6,2.04,0.51
P-SE-002,Cost,compliance,permit submission timeliness,0.1805,0.95,1,> 95%, days,TRUE,8,19,0.25,0.15,0.3,5.7,24.3,3.645,0.91125
P-SE-002,Cost,designReview,clash detection rate,0.54,0.9,1,> 90%,%,TRUE,9,60,0.25,0.3,0.5,30,20,6,1.5
P-SE-002,Cost,designReview,drawings usage,0.495,0.9,1,> 90%,%,TRUE,6,55,0.25,0.3,0.2,11,9,2.7,0.675
P-SE-002,Cost,designReview,photos usage,0.225,0.5,1.5,> 50%, count,TRUE,4,45,0.25,0.3,0.1,4.5,5.5,1.65,0.4125
P-SE-002,Cost,designReview,specifications usage,0.459,0.9,1,> 90%,%,TRUE,6,51,0.25,0.3,0.2,10.2,9.8,2.94,0.735
P-SE-002,Cost,financialSetup,budget to bid variance,0.0325,0,0.05,< 5%,%,FALSE,9,35,0.25,0.2,0.15,5.25,9.75,1.95,0.4875
P-SE-002,Cost,financialSetup,contingency adequacy,0.014,0.1,0.15,> 10%,%,TRUE,7,14,0.25,0.2,0.4,5.6,34.4,6.88,1.72
P-SE-002,Cost,financialSetup,days until sub contracts executed,20.22,0.15,21,< 15 days, days,FALSE,8,13,0.25,0.2,0.2,2.6,17.4,3.48,0.87
P-SE-002,Cost,financialSetup,prime contract to budget variance,0.0475,0,0.25,> 25%,%,FALSE,10,19,0.25,0.2,0.25,4.75,20.25,4.05,1.0125
P-SE-002,Cost,subcontractorPlanning,equipment cost variance,0.108,0,0.05,< 5%,%,FALSE,5,42,0.25,0.35,0.05,2.1,2.9,1.015,0.25375
P-SE-002,Cost,subcontractorPlanning,gantt chart completion rate,0.247,0.95,1,> 95%,%,TRUE,8,26,0.25,0.35,0.15,3.9,11.1,3.885,0.97125
P-SE-002,Cost,subcontractorPlanning,labor cost variance,0.135,0,0.05,< 5%,%,FALSE,10,15,0.25,0.35,0.35,5.25,29.75,10.4125,2.603125
P-SE-002,Cost,subcontractorPlanning,materials cost variance,0.105,0,0.05,< 5%,%,FALSE,10,45,0.25,0.35,0.2,9,11,3.85,0.9625
