projectId,region,projectManager,impact_category,action_item_type,action_item_id,description,required_action,weight
P-SE-002,Southeast,Jane Smith,GL Insurance,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,80
P-SE-002,Southeast,Jane Smith,GL Insurance,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,90
P-SE-002,Southeast,Jane Smith,GL Insurance,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,55
P-SE-002,Southeast,Jane Smith,GL Insurance,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,51
P-SE-002,Southeast,Jane Smith,GL Insurance,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,87
P-SE-002,Southeast,Jane Smith,GL Insurance,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,51
P-SE-002,Southeast,Jane Smith,GL Insurance,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",74
P-SE-002,Southeast,Jane Smith,GL Insurance,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,53
P-SE-002,Southeast,Jane Smith,Safety,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,73
P-SE-002,Southeast,Jane Smith,Safety,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,95
P-SE-002,Southeast,Jane Smith,Safety,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,79
P-SE-002,Southeast,Jane Smith,Safety,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,55
P-SE-002,Southeast,Jane Smith,Safety,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,77
P-SE-002,Southeast,Jane Smith,Safety,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,77
P-SE-002,Southeast,Jane Smith,Safety,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",71
P-SE-002,Southeast,Jane Smith,Safety,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,67
P-SE-002,Southeast,Jane Smith,Schedule,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,85
P-SE-002,Southeast,Jane Smith,Schedule,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,58
P-SE-002,Southeast,Jane Smith,Schedule,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,75
P-SE-002,Southeast,Jane Smith,Schedule,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,51
P-SE-002,Southeast,Jane Smith,Schedule,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,62
P-SE-002,Southeast,Jane Smith,Schedule,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,78
P-SE-002,Southeast,Jane Smith,Schedule,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",94
P-SE-002,Southeast,Jane Smith,Schedule,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,73
P-SE-002,Southeast,Jane Smith,WC Insurance,Change Orders,P-SE-002-CHA-01,Material substitution - steel supplier change,Verify specifications and update procurement,56
P-SE-002,Southeast,Jane Smith,WC Insurance,Incidents,P-SE-002-INC-05,Equipment malfunction - crane hydraulics,Schedule immediate equipment inspection and repair,88
P-SE-002,Southeast,Jane Smith,WC Insurance,Inspections,P-SE-002-INS-06,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,75
P-SE-002,Southeast,Jane Smith,WC Insurance,Late Payment,P-SE-002-LAT-08,Equipment rental payment late,Process payment to avoid service interruption,45
P-SE-002,Southeast,Jane Smith,WC Insurance,Observations,P-SE-002-OBS-04,Quality observation - misaligned window frames,Coordinate with trades to correct alignment,82
P-SE-002,Southeast,Jane Smith,WC Insurance,Punch Items,P-SE-002-PUN-03,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,69
P-SE-002,Southeast,Jane Smith,WC Insurance,RFIs,P-SE-002-RFI-02,RFI - structural connection detail clarification,"High priority RFI, needs immediate architect response",73
P-SE-002,Southeast,Jane Smith,WC Insurance,Submittals,P-SE-002-SUB-07,Submittal - roofing material samples,Coordinate color selection with client,54
P-MW-003,Midwest,Mike Johnson,BR Insurance,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,79
P-MW-003,Midwest,Mike Johnson,BR Insurance,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,76
P-MW-003,Midwest,Mike Johnson,BR Insurance,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,56
P-MW-003,Midwest,Mike Johnson,BR Insurance,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,87
P-MW-003,Midwest,Mike Johnson,BR Insurance,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,50
P-MW-003,Midwest,Mike Johnson,BR Insurance,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,71
P-MW-003,Midwest,Mike Johnson,CA Insurance,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,83
P-MW-003,Midwest,Mike Johnson,CA Insurance,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,71
P-MW-003,Midwest,Mike Johnson,CA Insurance,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,64
P-MW-003,Midwest,Mike Johnson,CA Insurance,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,66
P-MW-003,Midwest,Mike Johnson,CA Insurance,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,49
P-MW-003,Midwest,Mike Johnson,CA Insurance,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,60
P-MW-003,Midwest,Mike Johnson,Cost,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,98
P-MW-003,Midwest,Mike Johnson,Cost,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,65
P-MW-003,Midwest,Mike Johnson,Cost,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,61
P-MW-003,Midwest,Mike Johnson,Cost,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,90
P-MW-003,Midwest,Mike Johnson,Cost,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,51
P-MW-003,Midwest,Mike Johnson,Cost,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,76
P-MW-003,Midwest,Mike Johnson,GL Insurance,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,68
P-MW-003,Midwest,Mike Johnson,GL Insurance,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,93
P-MW-003,Midwest,Mike Johnson,GL Insurance,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,74
P-MW-003,Midwest,Mike Johnson,GL Insurance,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,47
P-MW-003,Midwest,Mike Johnson,GL Insurance,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,56
P-MW-003,Midwest,Mike Johnson,GL Insurance,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,68
P-MW-003,Midwest,Mike Johnson,Safety,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,72
P-MW-003,Midwest,Mike Johnson,Safety,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,97
P-MW-003,Midwest,Mike Johnson,Safety,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,83
P-MW-003,Midwest,Mike Johnson,Safety,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,49
P-MW-003,Midwest,Mike Johnson,Safety,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,77
P-MW-003,Midwest,Mike Johnson,Safety,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,64
P-MW-003,Midwest,Mike Johnson,Schedule,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,86
P-MW-003,Midwest,Mike Johnson,Schedule,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,60
P-MW-003,Midwest,Mike Johnson,Schedule,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,83
P-MW-003,Midwest,Mike Johnson,Schedule,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,58
P-MW-003,Midwest,Mike Johnson,Schedule,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,63
P-MW-003,Midwest,Mike Johnson,Schedule,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,97
P-MW-003,Midwest,Mike Johnson,WC Insurance,Change Orders,P-MW-003-CHA-03,Scope addition - additional parking spaces,Prepare cost estimate and contract amendment,58
P-MW-003,Midwest,Mike Johnson,WC Insurance,Incidents,P-MW-003-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,75
P-MW-003,Midwest,Mike Johnson,WC Insurance,Inspections,P-MW-003-INS-05,Building inspection failed - electrical rough-in,Address inspector comments and reschedule,74
P-MW-003,Midwest,Mike Johnson,WC Insurance,Late Payment,P-MW-003-LAT-06,Supplier payment overdue - concrete vendor,Resolve payment dispute and maintain relationships,60
P-MW-003,Midwest,Mike Johnson,WC Insurance,Punch Items,P-MW-003-PUN-02,Punch item - paint touch-ups in lobby,Schedule painter and coordinate with client,62
P-MW-003,Midwest,Mike Johnson,WC Insurance,RFIs,P-MW-003-RFI-01,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,62
P-WE-004,West,Alice Brown,BR Insurance,Change Orders,P-WE-004-CHA-06,Site condition change - unexpected utilities,Assess additional costs and timeline impact,76
P-WE-004,West,Alice Brown,BR Insurance,Incidents,P-WE-004-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,75
P-WE-004,West,Alice Brown,BR Insurance,Late Payment,P-WE-004-LAT-02,Subcontractor payment overdue - electrical trade,Process payment and review cash flow procedures,79
P-WE-004,West,Alice Brown,BR Insurance,Punch Items,P-WE-004-PUN-05,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,50
P-WE-004,West,Alice Brown,BR Insurance,RFIs,P-WE-004-RFI-03,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,70
P-WE-004,West,Alice Brown,BR Insurance,Submittals,P-WE-004-SUB-01,Submittal - elevator equipment shop drawings,Review technical specifications and approve,54
P-WE-004,West,Alice Brown,CA Insurance,Change Orders,P-WE-004-CHA-06,Site condition change - unexpected utilities,Assess additional costs and timeline impact,67
P-WE-004,West,Alice Brown,CA Insurance,Incidents,P-WE-004-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,71
P-WE-004,West,Alice Brown,CA Insurance,Late Payment,P-WE-004-LAT-02,Subcontractor payment overdue - electrical trade,Process payment and review cash flow procedures,74
P-WE-004,West,Alice Brown,CA Insurance,Punch Items,P-WE-004-PUN-05,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,48
P-WE-004,West,Alice Brown,CA Insurance,RFIs,P-WE-004-RFI-03,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,59
P-WE-004,West,Alice Brown,CA Insurance,Submittals,P-WE-004-SUB-01,Submittal - elevator equipment shop drawings,Review technical specifications and approve,55
P-WE-004,West,Alice Brown,Cost,Change Orders,P-WE-004-CHA-06,Site condition change - unexpected utilities,Assess additional costs and timeline impact,93
P-WE-004,West,Alice Brown,Cost,Incidents,P-WE-004-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,75
P-WE-004,West,Alice Brown,Cost,Late Payment,P-WE-004-LAT-02,Subcontractor payment overdue - electrical trade,Process payment and review cash flow procedures,90
P-WE-004,West,Alice Brown,Cost,Punch Items,P-WE-004-PUN-05,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,59
P-WE-004,West,Alice Brown,Cost,RFIs,P-WE-004-RFI-03,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,80
P-WE-004,West,Alice Brown,Cost,Submittals,P-WE-004-SUB-01,Submittal - elevator equipment shop drawings,Review technical specifications and approve,65
P-WE-004,West,Alice Brown,GL Insurance,Change Orders,P-WE-004-CHA-06,Site condition change - unexpected utilities,Assess additional costs and timeline impact,77
P-WE-004,West,Alice Brown,GL Insurance,Incidents,P-WE-004-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,92
P-WE-004,West,Alice Brown,GL Insurance,Late Payment,P-WE-004-LAT-02,Subcontractor payment overdue - electrical trade,Process payment and review cash flow procedures,46
P-WE-004,West,Alice Brown,GL Insurance,Punch Items,P-WE-004-PUN-05,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,57
P-WE-004,West,Alice Brown,GL Insurance,RFIs,P-WE-004-RFI-03,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,77
P-WE-004,West,Alice Brown,GL Insurance,Submittals,P-WE-004-SUB-01,Submittal - elevator equipment shop drawings,Review technical specifications and approve,54
P-WE-004,West,Alice Brown,Safety,Change Orders,P-WE-004-CHA-06,Site condition change - unexpected utilities,Assess additional costs and timeline impact,69
P-WE-004,West,Alice Brown,Safety,Incidents,P-WE-004-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,87
P-WE-004,West,Alice Brown,Safety,Late Payment,P-WE-004-LAT-02,Subcontractor payment overdue - electrical trade,Process payment and review cash flow procedures,47
P-WE-004,West,Alice Brown,Safety,Punch Items,P-WE-004-PUN-05,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,77
P-WE-004,West,Alice Brown,Safety,RFIs,P-WE-004-RFI-03,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,74
P-WE-004,West,Alice Brown,Safety,Submittals,P-WE-004-SUB-01,Submittal - elevator equipment shop drawings,Review technical specifications and approve,53
P-WE-004,West,Alice Brown,Schedule,Change Orders,P-WE-004-CHA-06,Site condition change - unexpected utilities,Assess additional costs and timeline impact,86
P-WE-004,West,Alice Brown,Schedule,Incidents,P-WE-004-INC-04,Safety incident - near miss on site,Complete incident investigation and safety briefing,50
P-WE-004,West,Alice Brown,Schedule,Late Payment,P-WE-004-LAT-02,Subcontractor payment overdue - electrical trade,Process payment and review cash flow procedures,68
P-WE-004,West,Alice Brown,Schedule,Punch Items,P-WE-004-PUN-05,Punch item - HVAC balancing incomplete,Complete system commissioning and testing,70
P-WE-004,West,Alice Brown,Schedule,RFIs,P-WE-004-RFI-03,RFI - HVAC ductwork routing conflict,Coordinate with MEP engineer for resolution,95
P-WE-004,West,Alice Brown,Schedule,Submittals,P-WE-004-SUB-01,Submittal - elevator equipment shop drawings,Review technical specifications and approve,79
