impact_category,process_name,kpi_name,bp_lower_bound,bp_upper_bound,bp_range_display,unit,higher_is_better,importance_weight,phase wt,process wt,KPI wt,realized_value,unrealized_value,process_level_unrealized_value,phase_level_unrealized_value,projectId,score,actual
CA Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.15,0.2,0.4,25.2,14.8,3.0,0.44,P-NE-001,1.0,0.97
Cost,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.1,0.55,55.0,0.0,0.0,0.0,P-NE-001,22.0,8.6
Cost,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.1,0.45,24.8,20.3,2.0,0.1,P-NE-001,23.0,1.0
Cost,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.2,0.6,49.8,10.2,2.0,0.1,P-NE-001,22.0,0.93
Cost,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.2,0.4,34.0,6.0,1.2,0.06,P-NE-001,46.0,1.0
Cost,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.4,0.45,31.5,13.5,5.4,0.27,P-NE-001,58.0,12.0
Cost,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.4,0.55,55.0,0.0,0.0,0.0,P-NE-001,23.0,0.96
Cost,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.3,0.4,34.8,5.2,1.6,0.08,P-NE-001,25.0,5.0
Cost,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.3,0.6,37.8,22.2,6.7,0.33,P-NE-001,43.0,0.99
GL Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.15,0.25,0.4,40.0,0.0,0.0,0.0,P-NE-001,31.0,8.8
GL Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.15,0.25,0.6,33.0,27.0,6.8,1.01,P-NE-001,48.0,1.0
GL Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.15,0.4,0.6,49.8,10.2,4.1,0.61,P-NE-001,18.0,0.91
GL Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.15,0.4,0.4,34.0,6.0,2.4,0.36,P-NE-001,11.0,1.0
GL Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.15,0.05,0.4,28.0,12.0,0.6,0.09,P-NE-001,20.0,25.0
GL Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.15,0.05,0.6,60.0,0.0,0.0,0.0,P-NE-001,20.0,0.99
GL Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.15,0.3,0.4,34.8,5.2,1.6,0.23,P-NE-001,23.0,5.0
GL Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.15,0.3,0.6,37.8,22.2,6.7,1.0,P-NE-001,10.0,1.0
Safety,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.3,0.35,35.0,0.0,0.0,0.0,P-NE-001,5.0,7.9
Safety,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.3,0.65,35.8,29.3,8.8,0.44,P-NE-001,4.0,0.97
Safety,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.25,0.6,49.8,10.2,2.6,0.13,P-NE-001,19.0,0.96
Safety,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.25,0.4,34.0,6.0,1.5,0.08,P-NE-001,14.0,1.0
Safety,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.05,0.4,28.0,12.0,0.6,0.03,P-NE-001,20.0,23.0
Safety,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.05,0.6,60.0,0.0,0.0,0.0,P-NE-001,7.0,0.98
Safety,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.4,0.4,34.8,5.2,2.1,0.1,P-NE-001,19.0,6.0
Safety,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.4,0.6,37.8,22.2,8.9,0.44,P-NE-001,18.0,0.97
Schedule,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.1,0.4,40.0,0.0,0.0,0.0,P-NE-001,19.0,8.4
Schedule,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.1,0.6,33.0,27.0,2.7,0.14,P-NE-001,2.0,0.97
Schedule,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.3,0.4,33.2,6.8,2.0,0.1,P-NE-001,30.0,0.89
Schedule,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.3,0.6,51.0,9.0,2.7,0.14,P-NE-001,16.0,1.0
Schedule,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.3,0.45,31.5,13.5,4.1,0.2,P-NE-001,14.0,25.0
Schedule,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.3,0.55,55.0,0.0,0.0,0.0,P-NE-001,8.0,1.0
Schedule,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.3,0.6,52.2,7.8,2.3,0.12,P-NE-001,20.0,5.0
Schedule,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.3,0.4,25.2,14.8,4.4,0.22,P-NE-001,16.0,0.97
WC Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.05,0.35,35.0,0.0,0.0,0.0,P-NE-001,6.0,7.9
WC Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.05,0.65,35.8,29.3,1.5,0.07,P-NE-001,20.0,1.0
WC Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.025,0.45,37.4,7.7,0.2,0.01,P-NE-001,25.0,0.95
WC Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.025,0.55,46.8,8.3,0.2,0.01,P-NE-001,8.0,1.0
WC Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.025,0.4,28.0,12.0,0.3,0.02,P-NE-001,48.0,15.0
WC Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.025,0.6,60.0,0.0,0.0,0.0,P-NE-001,40.0,0.99
WC Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.9,0.4,34.8,5.2,4.7,0.23,P-NE-001,13.0,6.0
WC Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.9,0.6,37.8,22.2,20.0,1.0,P-NE-001,17.0,0.94
BR Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.1,0.2,0.4,40.0,0.0,0.0,0.0,P-SE-002,12.0,7.9
BR Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.1,0.2,0.6,33.0,27.0,5.4,0.54,P-SE-002,14.0,0.97
BR Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.1,0.4,0.6,49.8,10.2,4.1,0.41,P-SE-002,13.0,0.95
BR Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.1,0.4,0.4,34.0,6.0,2.4,0.24,P-SE-002,20.0,1.0
BR Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.1,0.1,0.4,28.0,12.0,1.2,0.12,P-SE-002,33.0,21.0
BR Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.1,0.1,0.6,60.0,0.0,0.0,0.0,P-SE-002,29.0,0.97
BR Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.1,0.3,0.4,34.8,5.2,1.6,0.16,P-SE-002,33.0,5.0
BR Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.1,0.3,0.6,37.8,22.2,6.7,0.67,P-SE-002,19.0,0.92
CA Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.15,0.1,0.4,40.0,0.0,0.0,0.0,P-SE-002,25.0,8.7
CA Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.15,0.1,0.6,33.0,27.0,2.7,0.41,P-SE-002,42.0,1.0
CA Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.15,0.3,0.4,33.2,6.8,2.0,0.31,P-SE-002,12.0,0.96
CA Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.15,0.3,0.6,51.0,9.0,2.7,0.41,P-SE-002,9.0,1.0
CA Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.15,0.4,0.35,24.5,10.5,4.2,0.63,P-SE-002,27.0,22.0
CA Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.15,0.4,0.65,65.0,0.0,0.0,0.0,P-SE-002,11.0,0.98
CA Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.15,0.2,0.6,52.2,7.8,1.6,0.23,P-SE-002,54.0,3.0
CA Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.15,0.2,0.4,25.2,14.8,3.0,0.44,P-SE-002,34.0,0.96
Cost,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.1,0.55,55.0,0.0,0.0,0.0,P-SE-002,13.0,8.6
Cost,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.1,0.45,24.8,20.3,2.0,0.1,P-SE-002,22.0,1.0
Cost,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.2,0.6,49.8,10.2,2.0,0.1,P-SE-002,37.0,0.97
Cost,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.2,0.4,34.0,6.0,1.2,0.06,P-SE-002,14.0,1.0
Cost,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.4,0.45,31.5,13.5,5.4,0.27,P-SE-002,3.0,30.0
Cost,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.4,0.55,55.0,0.0,0.0,0.0,P-SE-002,28.0,0.96
Cost,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.3,0.4,34.8,5.2,1.6,0.08,P-SE-002,22.0,5.0
Cost,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.3,0.6,37.8,22.2,6.7,0.33,P-SE-002,54.0,1.0
GL Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.15,0.25,0.4,40.0,0.0,0.0,0.0,P-SE-002,28.0,8.3
GL Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.15,0.25,0.6,33.0,27.0,6.8,1.01,P-SE-002,17.0,1.0
GL Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.15,0.4,0.6,49.8,10.2,4.1,0.61,P-SE-002,14.0,0.93
GL Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.15,0.4,0.4,34.0,6.0,2.4,0.36,P-SE-002,20.0,1.0
GL Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.15,0.05,0.4,28.0,12.0,0.6,0.09,P-SE-002,8.0,27.0
GL Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.15,0.05,0.6,60.0,0.0,0.0,0.0,P-SE-002,30.0,1.0
GL Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.15,0.3,0.4,34.8,5.2,1.6,0.23,P-SE-002,7.0,7.0
GL Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.15,0.3,0.6,37.8,22.2,6.7,1.0,P-SE-002,21.0,0.92
Safety,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.3,0.35,35.0,0.0,0.0,0.0,P-SE-002,10.0,8.0
Safety,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.3,0.65,35.8,29.3,8.8,0.44,P-SE-002,14.0,1.0
Safety,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.25,0.6,49.8,10.2,2.6,0.13,P-SE-002,24.0,0.9
Safety,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.25,0.4,34.0,6.0,1.5,0.08,P-SE-002,28.0,1.0
Safety,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.05,0.4,28.0,12.0,0.6,0.03,P-SE-002,25.0,23.0
Safety,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.05,0.6,60.0,0.0,0.0,0.0,P-SE-002,13.0,0.97
Safety,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.4,0.4,34.8,5.2,2.1,0.1,P-SE-002,40.0,4.0
Safety,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.4,0.6,37.8,22.2,8.9,0.44,P-SE-002,9.0,0.94
Schedule,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.1,0.4,40.0,0.0,0.0,0.0,P-SE-002,6.0,8.5
Schedule,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.1,0.6,33.0,27.0,2.7,0.14,P-SE-002,5.0,0.98
Schedule,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.3,0.4,33.2,6.8,2.0,0.1,P-SE-002,29.0,0.9
Schedule,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.3,0.6,51.0,9.0,2.7,0.14,P-SE-002,45.0,1.0
Schedule,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.3,0.45,31.5,13.5,4.1,0.2,P-SE-002,38.0,19.0
Schedule,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.3,0.55,55.0,0.0,0.0,0.0,P-SE-002,39.0,1.0
Schedule,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.3,0.6,52.2,7.8,2.3,0.12,P-SE-002,25.0,5.0
Schedule,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.3,0.4,25.2,14.8,4.4,0.22,P-SE-002,13.0,0.97
WC Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.05,0.35,35.0,0.0,0.0,0.0,P-SE-002,14.0,8.1
WC Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.05,0.65,35.8,29.3,1.5,0.07,P-SE-002,7.0,0.99
WC Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.025,0.45,37.4,7.7,0.2,0.01,P-SE-002,3.0,0.9
WC Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.025,0.55,46.8,8.3,0.2,0.01,P-SE-002,11.0,1.0
WC Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.025,0.4,28.0,12.0,0.3,0.02,P-SE-002,11.0,26.0
WC Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.025,0.6,60.0,0.0,0.0,0.0,P-SE-002,21.0,0.97
WC Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.9,0.4,34.8,5.2,4.7,0.23,P-SE-002,29.0,5.0
WC Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.9,0.6,37.8,22.2,20.0,1.0,P-SE-002,22.0,0.98
BR Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.1,0.2,0.4,40.0,0.0,0.0,0.0,P-MW-003,6.0,8.5
BR Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.1,0.2,0.6,33.0,27.0,5.4,0.54,P-MW-003,14.0,1.0
BR Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.1,0.4,0.6,49.8,10.2,4.1,0.41,P-MW-003,25.0,0.89
BR Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.1,0.4,0.4,34.0,6.0,2.4,0.24,P-MW-003,31.0,1.0
BR Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.1,0.1,0.4,28.0,12.0,1.2,0.12,P-MW-003,9.0,26.0
BR Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.1,0.1,0.6,60.0,0.0,0.0,0.0,P-MW-003,26.0,1.0
BR Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.1,0.3,0.4,34.8,5.2,1.6,0.16,P-MW-003,36.0,4.0
BR Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.1,0.3,0.6,37.8,22.2,6.7,0.67,P-MW-003,32.0,1.0
CA Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.15,0.1,0.4,40.0,0.0,0.0,0.0,P-MW-003,56.0,9.4
CA Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.15,0.1,0.6,33.0,27.0,2.7,0.41,P-MW-003,52.0,0.96
CA Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.15,0.3,0.4,33.2,6.8,2.0,0.31,P-MW-003,42.0,0.99
CA Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.15,0.3,0.6,51.0,9.0,2.7,0.41,P-MW-003,40.0,1.0
CA Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.15,0.4,0.35,24.5,10.5,4.2,0.63,P-MW-003,40.0,19.0
CA Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.15,0.4,0.65,65.0,0.0,0.0,0.0,P-MW-003,41.0,0.98
CA Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.15,0.2,0.6,52.2,7.8,1.6,0.23,P-MW-003,12.0,6.0
CA Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.15,0.2,0.4,25.2,14.8,3.0,0.44,P-MW-003,2.0,0.97
Cost,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.1,0.55,55.0,0.0,0.0,0.0,P-MW-003,54.0,9.5
Cost,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.1,0.45,24.8,20.3,2.0,0.1,P-MW-003,17.0,1.0
Cost,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.2,0.6,49.8,10.2,2.0,0.1,P-MW-003,43.0,0.95
Cost,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.2,0.4,34.0,6.0,1.2,0.06,P-MW-003,47.0,1.0
Cost,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.4,0.45,31.5,13.5,5.4,0.27,P-MW-003,36.0,19.0
Cost,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.4,0.55,55.0,0.0,0.0,0.0,P-MW-003,22.0,1.0
Cost,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.3,0.4,34.8,5.2,1.6,0.08,P-MW-003,22.0,5.0
Cost,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.3,0.6,37.8,22.2,6.7,0.33,P-MW-003,21.0,0.98
GL Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.15,0.25,0.4,40.0,0.0,0.0,0.0,P-MW-003,62.0,8.9
GL Insurance,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.15,0.25,0.6,33.0,27.0,6.8,1.01,P-MW-003,47.0,1.0
GL Insurance,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.15,0.4,0.6,49.8,10.2,4.1,0.61,P-MW-003,29.0,0.97
GL Insurance,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.15,0.4,0.4,34.0,6.0,2.4,0.36,P-MW-003,8.0,1.0
GL Insurance,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.15,0.05,0.4,28.0,12.0,0.6,0.09,P-MW-003,28.0,21.0
GL Insurance,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.15,0.05,0.6,60.0,0.0,0.0,0.0,P-MW-003,25.0,0.98
GL Insurance,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.15,0.3,0.4,34.8,5.2,1.6,0.23,P-MW-003,12.0,6.0
GL Insurance,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.15,0.3,0.6,37.8,22.2,6.7,1.0,P-MW-003,5.0,0.96
Safety,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.3,0.35,35.0,0.0,0.0,0.0,P-MW-003,18.0,8.2
Safety,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.3,0.65,35.8,29.3,8.8,0.44,P-MW-003,15.0,0.95
Safety,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.25,0.6,49.8,10.2,2.6,0.13,P-MW-003,16.0,0.89
Safety,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.25,0.4,34.0,6.0,1.5,0.08,P-MW-003,24.0,1.0
Safety,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.05,0.4,28.0,12.0,0.6,0.03,P-MW-003,25.0,23.0
Safety,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.05,0.6,60.0,0.0,0.0,0.0,P-MW-003,19.0,1.0
Safety,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.4,0.4,34.8,5.2,2.1,0.1,P-MW-003,25.0,5.0
Safety,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.4,0.6,37.8,22.2,8.9,0.44,P-MW-003,46.0,1.0
Schedule,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.1,0.4,40.0,0.0,0.0,0.0,P-MW-003,22.0,8.5
Schedule,clientHandover,Client Training Completion,1.0,1,100%,%,True,2,0.05,0.1,0.6,33.0,27.0,2.7,0.14,P-MW-003,32.0,0.97
Schedule,finalDocumentation,As-Built Drawing Accuracy,0.9,1,> 90%,%,True,3,0.05,0.3,0.4,33.2,6.8,2.0,0.1,P-MW-003,3.0,0.91
Schedule,finalDocumentation,O&M Manuals Submitted Timely,1.0,1,100%,%,True,3,0.05,0.3,0.6,51.0,9.0,2.7,0.14,P-MW-003,15.0,1.0
Schedule,financialReconciliation,Final Payment Received Time,0.0,30,< 30 days,days,False,4,0.05,0.3,0.45,31.5,13.5,4.1,0.2,P-MW-003,17.0,25.0
Schedule,financialReconciliation,Subcontractor Final Payments,1.0,1,100%,%,True,2,0.05,0.3,0.55,55.0,0.0,0.0,0.0,P-MW-003,7.0,0.96
Schedule,punchlistCompletion,Avg Time to Close Punch Item,0.0,7,< 7 days,days,False,2,0.05,0.3,0.6,52.2,7.8,2.3,0.12,P-MW-003,13.0,6.0
Schedule,punchlistCompletion,Punch List Items Closed Rate,0.95,1,> 95%,%,True,3,0.05,0.3,0.4,25.2,14.8,4.4,0.22,P-MW-003,16.0,1.0
WC Insurance,clientHandover,Client Satisfaction Score,8.0,10,> 8,/10,True,4,0.05,0.05,0.35,35.0,0.0,0.0,0.0,P-MW-003,33.0,8.7
