impact_category,process_name,kpi_name,bp_lower_bound,bp_upper_bound,bp_range_display,unit,higher_is_better,importance_weight,phase wt,process wt,KPI wt,realized_value,unrealized_value,process_level_unrealized_value,phase_level_unrealized_value,projectId,score,actual
BR Insurance,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.05,0.15,0.1,8,2.5,0.4,0.02,P-NE-001,30.0,0.92
BR Insurance,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.05,0.15,0.3,22,7.8,1.2,0.06,P-NE-001,23.0,0.99
BR Insurance,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.05,0.4,0.3,23,6.9,2.8,0.14,P-NE-001,9.0,3.28
BR Insurance,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.05,0.4,0.2,18,2.0,0.8,0.04,P-NE-001,38.0,0.63
BR Insurance,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.05,0.4,0.4,24,16.0,6.4,0.32,P-NE-001,20.0,0.08
BR Insurance,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.05,0.4,0.1,8,2.5,1.0,0.05,P-NE-001,33.0,0.81
CA Insurance,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.05,0.1,0.1,10,0.0,0.0,0.0,P-NE-001,14.0,0.28
CA Insurance,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.3,19,11.1,1.1,0.06,P-NE-001,13.0,0.0
CA Insurance,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.05,0.1,0.2,10,10.0,1.0,0.05,P-NE-001,5.0,1.06
CA Insurance,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.4,30,10.0,1.0,0.05,P-NE-001,23.0,0.0
CA Insurance,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.05,0.3,0.25,19,6.3,1.9,0.09,P-NE-001,33.0,0.37
CA Insurance,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.05,0.3,0.25,17,8.3,2.5,0.12,P-NE-001,28.0,16.0
CA Insurance,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.05,0.3,0.25,17,8.3,2.5,0.12,P-NE-001,21.0,32.0
CA Insurance,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.05,0.3,0.25,15,10.0,3.0,0.15,P-NE-001,51.0,0.26
CA Insurance,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.05,0.2,0.1,9,0.8,0.2,0.01,P-NE-001,7.0,1.0
CA Insurance,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.05,0.2,0.2,17,3.2,0.6,0.03,P-NE-001,10.0,1.0
CA Insurance,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.05,0.2,0.25,19,6.3,1.3,0.06,P-NE-001,23.0,1.0
CA Insurance,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.05,0.2,0.45,33,11.7,2.3,0.12,P-NE-001,11.0,0.94
CA Insurance,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.05,0.4,0.3,23,6.9,2.8,0.14,P-NE-001,30.0,5.21
CA Insurance,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.05,0.4,0.4,36,4.0,1.6,0.08,P-NE-001,27.0,0.68
CA Insurance,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.05,0.4,0.2,12,8.0,3.2,0.16,P-NE-001,16.0,0.08
CA Insurance,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.05,0.4,0.1,8,2.5,1.0,0.05,P-NE-001,13.0,0.75
Cost,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.3,0.1,0.1,10,0.0,0.0,0.0,P-NE-001,5.0,0.2
Cost,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.3,0.1,0.45,28,16.7,1.7,0.5,P-NE-001,14.0,0.0
Cost,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.3,0.1,0.3,15,15.0,1.5,0.45,P-NE-001,5.0,1.07
Cost,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.3,0.1,0.15,11,3.8,0.4,0.11,P-NE-001,24.0,0.0
Cost,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.3,0.3,0.3,23,7.5,2.3,0.68,P-NE-001,38.0,0.38
Cost,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.3,0.3,0.2,13,6.6,2.0,0.59,P-NE-001,20.0,17.0
Cost,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.3,0.3,0.4,27,13.2,4.0,1.19,P-NE-001,27.0,35.0
Cost,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.3,0.3,0.1,6,4.0,1.2,0.36,P-NE-001,40.0,0.3
Cost,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.3,0.15,0.4,37,3.2,0.5,0.14,P-NE-001,25.0,0.94
Cost,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.3,0.15,0.3,25,4.8,0.7,0.22,P-NE-001,36.0,0.94
Cost,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.3,0.15,0.1,8,2.5,0.4,0.11,P-NE-001,36.0,1.0
Cost,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.3,0.15,0.2,15,5.2,0.8,0.23,P-NE-001,21.0,1.0
Cost,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.3,0.45,0.3,23,6.9,3.1,0.93,P-NE-001,32.0,4.47
Cost,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.3,0.45,0.1,9,1.0,0.5,0.14,P-NE-001,12.0,0.84
Cost,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.3,0.45,0.4,24,16.0,7.2,2.16,P-NE-001,7.0,0.09
Cost,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.3,0.45,0.2,15,5.0,2.3,0.68,P-NE-001,7.0,0.78
GL Insurance,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.1,0.1,0.1,10,0.0,0.0,0.0,P-NE-001,31.0,0.42
GL Insurance,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.1,0.1,0.3,19,11.1,1.1,0.11,P-NE-001,2.0,0.0
GL Insurance,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.1,0.1,0.2,10,10.0,1.0,0.1,P-NE-001,32.0,1.65
GL Insurance,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.1,0.1,0.4,30,10.0,1.0,0.1,P-NE-001,1.0,0.0
GL Insurance,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.1,0.35,0.45,34,11.3,3.9,0.39,P-NE-001,1.0,0.62
GL Insurance,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.1,0.35,0.1,7,3.3,1.2,0.12,P-NE-001,21.0,18.0
GL Insurance,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.1,0.35,0.35,23,11.6,4.0,0.4,P-NE-001,22.0,30.0
GL Insurance,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.1,0.35,0.1,6,4.0,1.4,0.14,P-NE-001,15.0,0.43
GL Insurance,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.1,0.15,0.25,23,2.0,0.3,0.03,P-NE-001,41.0,1.0
GL Insurance,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.1,0.15,0.2,17,3.2,0.5,0.05,P-NE-001,24.0,0.9
GL Insurance,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.1,0.15,0.15,11,3.8,0.6,0.06,P-NE-001,29.0,0.93
GL Insurance,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.1,0.15,0.4,30,10.4,1.6,0.16,P-NE-001,16.0,0.98
GL Insurance,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.1,0.4,0.3,23,6.9,2.8,0.28,P-NE-001,8.0,3.58
GL Insurance,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.1,0.4,0.4,36,4.0,1.6,0.16,P-NE-001,4.0,0.95
GL Insurance,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.1,0.4,0.2,12,8.0,3.2,0.32,P-NE-001,13.0,0.09
GL Insurance,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.1,0.4,0.1,8,2.5,1.0,0.1,P-NE-001,25.0,0.81
Safety,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.1,0.1,0.1,10,0.0,0.0,0.0,P-NE-001,4.0,0.17
Safety,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.1,0.1,0.3,19,11.1,1.1,0.11,P-NE-001,3.0,0.0
Safety,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.1,0.1,0.2,10,10.0,1.0,0.1,P-NE-001,5.0,1.13
Safety,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.1,0.1,0.4,30,10.0,1.0,0.1,P-NE-001,26.0,0.0
Safety,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.1,0.4,0.4,30,10.0,4.0,0.4,P-NE-001,11.0,0.51
Safety,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.1,0.4,0.15,10,5.0,2.0,0.2,P-NE-001,8.0,18.0
Safety,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.1,0.4,0.35,23,11.6,4.6,0.46,P-NE-001,26.0,34.0
Safety,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.1,0.4,0.1,6,4.0,1.6,0.16,P-NE-001,7.0,0.51
Safety,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.1,0.15,0.1,9,0.8,0.1,0.01,P-NE-001,16.0,1.0
Safety,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.1,0.15,0.2,17,3.2,0.5,0.05,P-NE-001,15.0,0.91
Safety,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.1,0.15,0.25,19,6.3,0.9,0.09,P-NE-001,26.0,1.0
Safety,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.1,0.15,0.45,33,11.7,1.8,0.18,P-NE-001,11.0,0.9
Safety,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.1,0.35,0.25,19,5.8,2.0,0.2,P-NE-001,19.0,3.99
Safety,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.1,0.35,0.5,45,5.0,1.8,0.18,P-NE-001,15.0,0.83
Safety,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.1,0.35,0.1,6,4.0,1.4,0.14,P-NE-001,20.0,0.08
Safety,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.1,0.35,0.15,11,3.8,1.3,0.13,P-NE-001,6.0,0.77
Schedule,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.05,0.1,0.1,10,0.0,0.0,0.0,P-NE-001,26.0,0.36
Schedule,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.3,19,11.1,1.1,0.06,P-NE-001,22.0,0.0
Schedule,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.05,0.1,0.15,8,7.5,0.8,0.04,P-NE-001,3.0,0.97
Schedule,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.45,34,11.3,1.1,0.06,P-NE-001,23.0,0.0
Schedule,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.05,0.3,0.2,15,5.0,1.5,0.08,P-NE-001,28.0,0.45
Schedule,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.05,0.3,0.3,20,9.9,3.0,0.15,P-NE-001,11.0,18.0
Schedule,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.05,0.3,0.4,27,13.2,4.0,0.2,P-NE-001,25.0,29.0
Schedule,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.05,0.3,0.1,6,4.0,1.2,0.06,P-NE-001,34.0,0.3
Schedule,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.05,0.2,0.4,37,3.2,0.6,0.03,P-NE-001,23.0,0.9
Schedule,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.05,0.2,0.1,8,1.6,0.3,0.02,P-NE-001,7.0,0.97
Schedule,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.05,0.2,0.3,23,7.5,1.5,0.08,P-NE-001,10.0,0.93
Schedule,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.05,0.2,0.2,15,5.2,1.0,0.05,P-NE-001,23.0,1.0
Schedule,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.05,0.4,0.2,15,4.6,1.8,0.09,P-NE-001,10.0,3.26
Schedule,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.05,0.4,0.45,41,4.5,1.8,0.09,P-NE-001,6.0,0.94
Schedule,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.05,0.4,0.25,15,10.0,4.0,0.2,P-NE-001,2.0,0.09
Schedule,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.05,0.4,0.1,8,2.5,1.0,0.05,P-NE-001,14.0,0.84
WC Insurance,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.05,0.1,0.1,10,0.0,0.0,0.0,P-NE-001,10.0,0.24
WC Insurance,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.3,19,11.1,1.1,0.06,P-NE-001,6.0,0.0
WC Insurance,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.05,0.1,0.2,10,10.0,1.0,0.05,P-NE-001,3.0,1.0
WC Insurance,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.4,30,10.0,1.0,0.05,P-NE-001,8.0,0.0
WC Insurance,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.05,0.4,0.4,30,10.0,4.0,0.2,P-NE-001,24.0,0.5
WC Insurance,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.05,0.4,0.15,10,5.0,2.0,0.1,P-NE-001,9.0,17.0
WC Insurance,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.05,0.4,0.35,23,11.6,4.6,0.23,P-NE-001,24.0,33.0
WC Insurance,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.05,0.4,0.1,6,4.0,1.6,0.08,P-NE-001,3.0,0.48
WC Insurance,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.05,0.15,0.1,9,0.8,0.1,0.01,P-NE-001,27.0,1.0
WC Insurance,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.05,0.15,0.2,17,3.2,0.5,0.02,P-NE-001,22.0,0.91
WC Insurance,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.05,0.15,0.25,19,6.3,0.9,0.05,P-NE-001,45.0,1.0
WC Insurance,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.05,0.15,0.45,33,11.7,1.8,0.09,P-NE-001,13.0,0.92
WC Insurance,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.05,0.35,0.2,15,4.6,1.6,0.08,P-NE-001,4.0,3.41
WC Insurance,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.05,0.35,0.6,54,6.0,2.1,0.11,P-NE-001,30.0,0.65
WC Insurance,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.05,0.35,0.1,6,4.0,1.4,0.07,P-NE-001,19.0,0.08
WC Insurance,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.05,0.35,0.1,8,2.5,0.9,0.04,P-NE-001,11.0,0.88
BR Insurance,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.05,0.1,0.1,10,0.0,0.0,0.0,P-SE-002,17.0,0.28
BR Insurance,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.3,19,11.1,1.1,0.06,P-SE-002,6.0,0.0
BR Insurance,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.05,0.1,0.2,10,10.0,1.0,0.05,P-SE-002,21.0,1.49
BR Insurance,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.4,30,10.0,1.0,0.05,P-SE-002,18.0,0.0
BR Insurance,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.05,0.35,0.35,26,8.8,3.1,0.15,P-SE-002,34.0,0.41
BR Insurance,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.05,0.35,0.15,10,5.0,1.7,0.09,P-SE-002,5.0,20.0
BR Insurance,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.05,0.35,0.4,27,13.2,4.6,0.23,P-SE-002,15.0,26.0
BR Insurance,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.05,0.35,0.1,6,4.0,1.4,0.07,P-SE-002,33.0,0.34
BR Insurance,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.05,0.15,0.4,37,3.2,0.5,0.02,P-SE-002,15.0,1.0
BR Insurance,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.05,0.15,0.2,17,3.2,0.5,0.02,P-SE-002,14.0,0.9
BR Insurance,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.05,0.15,0.1,8,2.5,0.4,0.02,P-SE-002,3.0,1.0
BR Insurance,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.05,0.15,0.3,22,7.8,1.2,0.06,P-SE-002,24.0,0.9
BR Insurance,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.05,0.4,0.3,23,6.9,2.8,0.14,P-SE-002,10.0,3.63
BR Insurance,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.05,0.4,0.2,18,2.0,0.8,0.04,P-SE-002,1.0,0.95
BR Insurance,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.05,0.4,0.4,24,16.0,6.4,0.32,P-SE-002,13.0,0.09
BR Insurance,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.05,0.4,0.1,8,2.5,1.0,0.05,P-SE-002,20.0,0.83
CA Insurance,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.05,0.1,0.1,10,0.0,0.0,0.0,P-SE-002,25.0,0.4
CA Insurance,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.3,19,11.1,1.1,0.06,P-SE-002,27.0,0.0
CA Insurance,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.05,0.1,0.2,10,10.0,1.0,0.05,P-SE-002,23.0,1.59
CA Insurance,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.05,0.1,0.4,30,10.0,1.0,0.05,P-SE-002,33.0,0.0
CA Insurance,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.05,0.3,0.25,19,6.3,1.9,0.09,P-SE-002,12.0,0.54
CA Insurance,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.05,0.3,0.25,17,8.3,2.5,0.12,P-SE-002,24.0,15.0
CA Insurance,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.05,0.3,0.25,17,8.3,2.5,0.12,P-SE-002,8.0,24.0
CA Insurance,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.05,0.3,0.25,15,10.0,3.0,0.15,P-SE-002,6.0,0.49
CA Insurance,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.05,0.2,0.1,9,0.8,0.2,0.01,P-SE-002,20.0,0.91
CA Insurance,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.05,0.2,0.2,17,3.2,0.6,0.03,P-SE-002,8.0,1.0
CA Insurance,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.05,0.2,0.25,19,6.3,1.3,0.06,P-SE-002,18.0,1.0
CA Insurance,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.05,0.2,0.45,33,11.7,2.3,0.12,P-SE-002,10.0,1.0
CA Insurance,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.05,0.4,0.3,23,6.9,2.8,0.14,P-SE-002,26.0,4.33
CA Insurance,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.05,0.4,0.4,36,4.0,1.6,0.08,P-SE-002,33.0,0.6
CA Insurance,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.05,0.4,0.2,12,8.0,3.2,0.16,P-SE-002,36.0,0.07
CA Insurance,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.05,0.4,0.1,8,2.5,1.0,0.05,P-SE-002,11.0,0.81
Cost,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.3,0.1,0.1,10,0.0,0.0,0.0,P-SE-002,27.0,0.36
Cost,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.3,0.1,0.45,28,16.7,1.7,0.5,P-SE-002,31.0,0.0
Cost,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.3,0.1,0.3,15,15.0,1.5,0.45,P-SE-002,24.0,1.41
Cost,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.3,0.1,0.15,11,3.8,0.4,0.11,P-SE-002,19.0,0.0
Cost,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.3,0.3,0.3,23,7.5,2.3,0.68,P-SE-002,32.0,0.44
Cost,bidreview,Avg Days to Submit Bid,0.0,21.0,< 21 days,days,False,3,0.3,0.3,0.2,13,6.6,2.0,0.59,P-SE-002,10.0,21.0
Cost,bidreview,Avg Time to Submit Bid,21.0,9999.0,> 21 days,days,True,3,0.3,0.3,0.4,27,13.2,4.0,1.19,P-SE-002,4.0,21.0
Cost,bidreview,Bid Rate per $1M of ACV,0.0,0.5,< 0.5,/$1M ACV,False,3,0.3,0.3,0.1,6,4.0,1.2,0.36,P-SE-002,14.0,0.4
Cost,compliance,Bid Package Completeness Rate,1.0,1.0,100%,%,True,3,0.3,0.15,0.4,37,3.2,0.5,0.14,P-SE-002,5.0,0.92
Cost,compliance,Compliance Matrix Completion Rate,0.95,1.0,> 95%,%,True,2,0.3,0.15,0.3,25,4.8,0.7,0.22,P-SE-002,22.0,1.0
Cost,compliance,Licensing & Certification Compliance Rate,1.0,1.0,100%,%,True,3,0.3,0.15,0.1,8,2.5,0.4,0.11,P-SE-002,9.0,1.0
Cost,compliance,Sub Prequal Rate,0.95,1.0,> 95%,%,True,2,0.3,0.15,0.2,15,5.2,0.8,0.23,P-SE-002,4.0,0.96
Cost,estimating,Avg Number of Sub Quotes per Trade,3.0,99.0,> 3,quote,True,1,0.3,0.45,0.3,23,6.9,3.1,0.93,P-SE-002,43.0,5.81
Cost,estimating,Avg Selected Sub EMR,0.0,1.0,< 1.00,EMR,False,2,0.3,0.45,0.1,9,1.0,0.5,0.14,P-SE-002,34.0,0.72
Cost,estimating,Avg Sub Quote Variance,0.0,0.1,< 10%,%,False,1,0.3,0.45,0.4,24,16.0,7.2,2.16,P-SE-002,35.0,0.06
Cost,estimating,Avg Sub Response Rate,0.8,1.0,> 80%,%,True,1,0.3,0.45,0.2,15,5.0,2.3,0.68,P-SE-002,42.0,0.85
GL Insurance,bidresults,Bid Win Rate,0.15,1.0,> 155,%,True,4,0.1,0.1,0.1,10,0.0,0.0,0.0,P-SE-002,11.0,0.26
GL Insurance,bidresults,Cost Variance,-99.0,0.0,< 0%,%,False,2,0.1,0.1,0.3,19,11.1,1.1,0.11,P-SE-002,30.0,0.0
GL Insurance,bidresults,Profit Variance,1.0,9999.0,> 0%,%,True,4,0.1,0.1,0.2,10,10.0,1.0,0.1,P-SE-002,29.0,1.51
GL Insurance,bidresults,Schedule Variance,-99.0,0.0,< 0%,%,False,2,0.1,0.1,0.4,30,10.0,1.0,0.1,P-SE-002,20.0,0.0
GL Insurance,bidreview,% of Bids Targeted,0.0,0.6,< 60%,%,False,2,0.1,0.35,0.45,34,11.3,3.9,0.39,P-SE-002,5.0,0.6
